Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
omega_195888	-107.902100	-104.886375	18.797302	-3.975678	-17.837345	0.000000	c1ccc2c(c1)cccc2S(=O)(=O)Nc3ccc(c(c3)Sc4nc[nH]n4)O
omega_15197	-107.872612	-98.884041	7.733263	-16.721743	-0.000090	0.000000	c1ccc2c(c1)CCN(C2)C(=S)NC(=O)C34CC5CC(C3)CC(C5)C4
omega_45768	-107.842331	-110.579147	5.085179	-2.348364	0.000000	0.000000	CCOc1ccc(c2c1cccc2)S(=O)(=O)N3CCN(CC3)c4ccccc4
omega_13014	-107.827911	-110.691071	6.219164	-3.356008	0.000000	0.000000	c1ccc(cc1)c2csc3c2c(=O)n(c(n3)SCC(=O)c4ccc5c(c4)OCCO5)c6ccccc6
omega_109384	-107.820282	-105.156944	20.264465	-16.545631	-6.382164	0.000000	c1ccc2c(c1)[nH]c(n2)NC(=O)C(C(C(C(C(=O)Nc3[nH]c4ccccc4n3)(F)F)(F)F)(F)F)(F)F
omega_121272	-107.801392	-112.369301	9.650704	-5.082797	0.000000	0.000000	CCOc1ccccc1N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc6c(c5)OCO6
omega_81934	-107.787819	-106.847313	9.947401	-10.887908	0.000000	0.000000	CC(=O)c1c(cn(n1)c2ccc(cc2)Cl)C(=O)c3nc4ccccc4s3
omega_100324	-107.770981	-107.070786	6.731945	-7.432134	0.000000	0.000000	Cc1ccc(c(c1)C)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5OC
omega_88611	-107.766266	-107.768127	3.732938	-3.731085	0.000000	0.000000	c1ccc(cc1)c2c(cn(n2)c3ccccc3)C(=O)OCC(=O)c4ccc5ccccc5c4
omega_59168	-107.743195	-105.823029	4.433262	-6.353414	0.000000	0.000000	c1ccc2c(c1)N3CCN=C3N2CC(=O)C45CC6CC(C4)CC(C6)C5
omega_164013	-107.690323	-112.494797	6.065704	-1.261231	0.000000	0.000000	c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cccc4c3C(=O)c5ccccc5C4=O
omega_107103	-107.673782	-112.856407	11.944784	-6.762163	0.000000	0.000000	COc1ccc(cc1OC)c2cc(c3ccccc3n2)C(=O)Nc4c(c5c(s4)CCCCC5)C#N
omega_28975	-107.672394	-110.558182	5.326920	-2.389095	-0.052029	0.000000	c1ccc(cc1)c2ccc(cc2)C(=O)c3c(c4c(cc(nc4s3)c5ccccc5)c6ccc(cc6)F)N
omega_28827	-107.663399	-104.087006	15.917734	-19.494133	0.000000	0.000000	Cn1c2ccccc2c3c1nc(nn3)SCC(=O)N4c5ccccc5Sc6c4cccc6
omega_196879	-107.648483	-108.915939	4.034746	-2.767291	0.000000	0.000000	c1ccc(c(c1)N2CCN(CC2)S(=O)(=O)c3ccc(cc3)c4ccc(cc4)Cl)F
omega_180431	-107.639709	-107.532463	3.321115	-3.428366	0.000000	0.000000	Cc1ccc(c(c1)C)N2CCN(CC2)C(=O)C34CC5CC(C3)CC(C5)C4
omega_1228	-107.635529	-112.768639	7.766977	-2.633862	0.000000	0.000000	c1ccc(cc1)C(=O)C2=C(OC(=O)C(=Nc3ccccc3)C2=O)c4ccc(cc4)Br
omega_22102	-107.617844	-110.016609	5.617485	-3.218715	0.000000	0.000000	CSc1ccc(cc1)c2[nH]c(c(n2)c3ccc(cc3)C(=O)c4ccccc4)c5ccccc5
omega_109471	-107.609184	-105.228165	3.716366	-6.097380	0.000000	0.000000	c1ccc2c(c1)CCN(C2)C(=O)C(C(C(=O)N3CCc4ccccc4C3)(F)F)(F)F
omega_69603	-107.605797	-105.876450	5.507733	-7.237082	0.000000	0.000000	COc1ccc(c(c1)C(=O)C=Cc2ccccc2C(F)(F)F)OC
omega_101243	-107.602066	-108.492233	6.736885	-5.846714	0.000000	0.000000	Cc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5
omega_96518	-107.598747	-111.416801	10.220008	-6.401956	0.000000	0.000000	COc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)Nc4c(c5c(s4)CCCCC5)C#N
omega_103425	-107.590981	-114.621834	13.085352	-2.805594	-3.248895	0.000000	CCn1c(nnc1Sc2c(c3ccc(cc3nc2O)Cl)c4ccccc4)c5ccccc5
